waterfront,renovated,view,condition,grade,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,age,sqft_living15,sqft_lot15,price,yr_built
0,0,0,4,3,3,0.75,2510,20000,2,2510,0,59,2130,20000,363000,1961
0,0,0,3,3,2,1,770,17334,1,770,0,42,1480,17334,100000,1978
0,yes,0,3,2,2,1,828,4524,1,828,0,52,828,5402,110000,1968
0,0,0,4,2,2,1,840,6480,1,840,0,66,1100,7300,124500,1954
0,0,0,4,2,3,1,860,33664,1,860,0,65,1290,18287,199129,1955
0,0,0,4,2,3,1,900,10511,1,900,0,59,1460,10643,178500,1961
0,0,0,3,2,2,1,900,13531,1,900,0,41,1767,8308,174000,1979
0,0,0,3,3,3,1,910,7686,1,910,0,51,1020,7686,169000,1969
0,0,0,3,2,2,1,910,22000,1,910,0,64,1326,9891,100000,1956
0,0,0,4,3,3,1,910,7194,1,910,0,49,1530,7200,182500,1971
0,0,0,4,3,3,1,920,14400,1,920,0,43,1170,9600,212500,1977
0,0,0,4,3,3,1,920,9812,1,920,0,58,1188,9812,199500,1962
0,0,0,4,2,3,1,940,10890,1,940,0,111,1370,10255,185900,1909
0,0,0,3,3,3,1,970,14850,1,970,0,52,1410,14850,184000,1968
0,0,0,3,3,3,1,980,9135,1,980,0,65,1780,9135,185000,1955
0,0,0,3,2,2,1,1000,16524,1,1000,0,107,1350,10208,115000,1913
0,0,0,4,3,3,1,1010,9576,1,1010,0,53,1540,9576,201700,1967
0,0,0,4,2,3,1,1010,7520,1,1010,0,45,1370,8469,183500,1975
0,0,0,4,3,2,1,1050,60113,1,1050,0,77,1380,27442,415000,1943
0,0,0,3,3,3,1,1070,22489,1,1070,0,53,1880,20250,195000,1967
0,0,0,3,3,3,1,1070,6164,1,1070,0,53,1320,7920,175000,1967
0,0,0,3,3,3,1,1080,10500,1,1080,0,53,1200,9607,132500,1967
0,0,0,3,2,3,1,1080,16000,1,1080,0,68,1610,10007,225000,1952
0,yes,0,3,2,2,1,1088,8453,1,1088,0,68,1088,8016,238000,1952
0,0,0,3,3,3,1,1100,17334,1,1100,0,42,1530,18694,139000,1978
0,0,0,4,2,3,1,1120,10665,1,1120,0,59,1240,10639,225000,1961
0,0,0,3,3,1,1,1120,17332,1,1120,0,32,1280,17334,166000,1988
0,0,0,4,3,3,1,1140,9639,1,1140,0,53,1140,9639,230000,1967
0,0,0,3,3,3,1,1140,8800,1,1140,0,48,1270,13560,172500,1972
0,0,0,4,2,3,1,1150,19200,1,1150,0,112,1290,19200,165000,1908
0,0,0,4,2,3,1,1150,6480,1.5,1150,0,74,1100,7300,171500,1946
0,yes,0,4,2,3,1,1150,8000,1.5,1150,0,107,1170,9600,168000,1913
0,0,0,2,3,4,1,1220,8075,1,890,330,51,1290,7800,240000,1969
